Row Id,Printing Method,Problem (Professional),Problem (Simplified),Image Reference,Symptoms 1,Symptoms 2,Symptoms 3,Symptoms 4,Reason 1,Remedy 1,Reason 2,Remedy 2,Reason 3,Remedy 3,Reason 4,Remedy 4,Reason 5,Remedy 5,Reason 6,Remedy 6,Reason 7,Remedy 7
0.6978963428,Gravure,Abrasion (rough),Print looks rough,,Cylinder wears fast,Rough/dull print,Blade lines,Ink scratches,Blade pressure too high,Reduce pressure,Wrong blade angle,Correct angle,Wrong blade steel,Use proper steel,Cylinder too soft,Improve plating,Abrasive pigments,Use fine pigments,Ink too thick,Reduce viscosity,Dust in ink,Filter ink
0.9464268351,Flexo,Abrasion (rough),Print looks rough,,Plate wears fast,Rough/dull print,Blade lines,Ink scratches,Blade pressure too high,Reduce pressure,Wrong blade angle,Correct angle,Wrong blade steel,Use proper steel,Anilox too rough,Polish anilox,Abrasive pigments,Use fine pigments,Ink too thick,Reduce viscosity,Dust in ink,Filter ink
0.8643875154,Gravure,Mottle,Uneven colour,,Patchy print,Dull areas,Spots,Shade variation,Ink viscosity wrong,Adjust viscosity,Poor solvent mix,Adjust blend,Poor dispersion,Mix properly,Paper absorbs uneven,Use coated paper,Ink too dry,Add retarder,Dryer too fast,Slow down drying,Cylinder uneven,Rechrome
0.5076011189,Flexo,Mottle,Uneven colour,,Patchy print,Dull areas,Spots,Shade variation,Ink viscosity wrong,Adjust viscosity,Poor solvent mix,Adjust blend,Poor dispersion,Mix properly,Paper absorbs uneven,Use coated paper,Ink too dry,Add retarder,Dryer too fast,Slow down drying,Anilox volume wrong,Adjust anilox
0.1726380761,Gravure,Streaks,Lines in print,,Long lines,Ink missing,Blade marks,Streaky areas,Blade damaged,Replace blade,Pressure too high,Reduce pressure,Angle wrong,Correct angle,Ink too thick,Reduce viscosity,Cylinder scratches,Polish/rechrome,Dust on cylinder,Clean cylinder,Ink circulation poor,Improve flow
0.0004020945808,Flexo,Streaks,Lines in print,,Long lines,Ink missing,Blade marks,Streaky areas,Blade damaged,Replace blade,Pressure too high,Reduce pressure,Angle wrong,Correct angle,Ink too thick,Reduce viscosity,Anilox dirty,Clean anilox,Dust on plate,Clean plate,Ink circulation poor,Improve flow
0.9827001217,Gravure,Missing dots,Gaps in print,,White spots,Broken image,Fine details missing,Dull edges,Ink too dry,Add retarder,Ink too thick,Reduce viscosity,Cylinder cells blocked,Clean cylinder,Dust in ink,Filter ink,Poor dispersion,Mix properly,Substrate dusty,Clean substrate,Dryer too strong,Adjust dryer
0.6815938587,Flexo,Missing dots,Gaps in print,,White spots,Broken image,Fine details missing,Dull edges,Ink too dry,Add retarder,Ink too thick,Reduce viscosity,Anilox blocked,Clean anilox,Dust in ink,Filter ink,Poor dispersion,Mix properly,Plate damaged,Replace plate,Dryer too strong,Adjust dryer
0.9859730459,Gravure,Ink smudge,Smearing,,Print blurry,Ink transfers,Poor edge sharpness,Dull finish,Ink too slow,Reformulate,Ink too wet,Improve drying,Ink too soft,Improve hardness,Pressure too high,Reduce pressure,Wrong solvent,Adjust solvent,Ink layer too heavy,Reduce coating,Wrong substrate,Use treated film
0.5960984527,Flexo,Ink smudge,Smearing,,Print blurry,Ink transfers,Poor edge sharpness,Dull finish,Ink too slow,Reformulate,Ink too wet,Improve drying,Ink too soft,Improve hardness,Pressure too high,Reduce pressure,Wrong solvent,Adjust solvent,Ink layer too heavy,Reduce coating,Wrong substrate,Use treated film
